time,temperature_2m_c,relative_humidity_2m_percent,dew_point_2m_c,rain_mm,snowfall_cm,cloud_cover_percent,wind_speed_10m_kph,wind_direction_10m_degrees,wind_gusts_10m_kph
2020-01-01T00:00,23.2,95,22.4,0.90,0.00,100,19.6,36,44.3
2020-01-01T01:00,23.6,95,22.7,1.70,0.00,97,21.4,41,44.6
2020-01-01T02:00,24.4,93,23.3,0.20,0.00,92,21.0,35,45.0
2020-01-01T03:00,24.7,88,22.5,0.40,0.00,53,23.6,34,51.1
2020-01-01T04:00,25.1,88,22.9,0.90,0.00,100,22.7,29,53.6
2020-01-01T05:00,25.2,87,23.0,1.00,0.00,94,24.3,35,55.8
2020-01-01T06:00,24.4,88,22.2,1.00,0.00,62,23.5,32,52.9
2020-01-01T07:00,24.5,93,23.3,1.00,0.00,100,20.7,31,49.0
2020-01-01T08:00,23.4,93,22.3,0.90,0.00,79,23.0,35,46.1
2020-01-01T09:00,23.3,96,22.6,0.90,0.00,100,22.6,29,47.2
2020-01-01T10:00,22.9,98,22.6,0.90,0.00,100,21.3,28,49.0
2020-01-01T11:00,23.0,97,22.4,1.00,0.00,100,19.4,22,45.7
2020-01-01T12:00,23.2,97,22.7,0.90,0.00,100,13.9,21,46.1
2020-01-01T13:00,23.4,96,22.8,0.60,0.00,100,18.0,33,34.9
2020-01-01T14:00,23.2,96,22.6,0.30,0.00,100,20.0,30,41.0
2020-01-01T15:00,23.1,98,22.7,0.30,0.00,100,17.2,20,41.4
2020-01-01T16:00,23.3,98,23.0,0.40,0.00,100,17.7,27,41.4
2020-01-01T17:00,23.5,98,23.2,0.30,0.00,92,17.0,32,38.2
2020-01-01T18:00,23.5,96,22.9,0.10,0.00,22,17.8,32,36.4
2020-01-01T19:00,23.4,95,22.6,0.00,0.00,22,17.6,31,36.4
2020-01-01T20:00,23.5,94,22.5,0.00,0.00,22,17.2,29,36.7
2020-01-01T21:00,23.2,93,22.0,0.00,0.00,25,17.1,22,36.0
2020-01-01T22:00,23.1,90,21.4,0.00,0.00,45,16.1,20,35.6
2020-01-01T23:00,23.3,89,21.3,0.10,0.00,55,15.9,18,33.5
